series1,series2,log,i1test,urtest,alpha,alpha.se,beta,beta.se,rho,rho.raw,rho.se,s1.i1.stat,s1.i1.p,s2.i1.stat,s2.i1.p,r.stat,r.p,eps.ljungbox.stat,eps.ljungbox.p,s1.dsd,s2.dsd,residuals.sd,eps.sd,is.cointegrated
AAPL,ABT,FALSE,pp,pp,18.6771897898612,0.334269022289552,0.203976309926684,0.00212017177813392,0.986704771569286,0.981499284987244,0.00536559747446432,-9.10018066297438,0.602119050259546,-7.82545177234266,0.673225877814931,-25.6550979377056,0.0197008975952448,0.340303528590523,0.559654071851753,1.52255902318702,0.494599204826644,2.50857579981258,0.487898107137754,TRUE
ABBV,ABT,FALSE,pp,pp,17.9735429045271,0.316539777152431,0.423834916118156,0.00371486523874784,0.979964363760585,0.974783406230129,0.00630123466379042,-9.26830093619542,0.592740978291186,-7.82545177234266,0.673225877814931,-30.8146214596686,0.00882784457833258,1.15983186674884,0.281500412514287,1.00276253909197,0.494599204826644,2.15450266042251,0.492470013457433,TRUE
A,ADSK,FALSE,pp,pp,-29.5122574242239,0.952642545842093,2.22183458291923,0.014567842796957,0.976581781948205,0.971413133988049,0.00662264286134309,-5.99914868606523,0.775100574132074,-8.06901770893302,0.659639301736849,-33.3714786019113,0.00745446042123029,0.0651169902752926,0.7985838386186,0.578186173236103,1.43518273521945,5.85818238045753,1.4079537710235,TRUE
ADI,ADSK,FALSE,pp,pp,-24.0971005648201,1.11464493145724,1.6060299814907,0.0140883565118173,0.985724251110123,0.980522332744961,0.00548150900836141,-12.2691813992255,0.425346098354596,-8.06901770893302,0.659639301736849,-22.688198624706,0.0352180070329403,0.683210511294356,0.408483383553311,0.863863188766858,1.43518273521945,7.67674514802589,1.52795720086443,TRUE
A,AFL,FALSE,pp,pp,5.72947597822033,0.235472214069085,0.531426505551114,0.00388135695684049,0.983721029585324,0.978526401153578,0.0057112969206366,-5.99914868606523,0.775100574132074,-7.98231116797641,0.664475959241858,-24.5860306215157,0.0231876508485892,7.12728217105681,0.0075919718596803,0.578186173236103,0.297041810367324,1.56081427111355,0.323756781422956,TRUE
ADBE,AFL,FALSE,pp,pp,15.3374755655107,0.188460602858119,0.140930805276601,0.00102977576737424,0.987092354489152,0.981885457452177,0.00553941263310133,0.633750703044283,0.99,-7.98231116797641,0.664475959241858,-21.1431286360089,0.0469792198977364,1.19881509479212,0.273558631327416,1.64700182603909,0.297041810367324,1.56147373621901,0.313499232140527,TRUE
AEE,AIZ,FALSE,pp,pp,-1.00094795957065,0.862446540451104,1.76657203584333,0.016812362378731,0.986715733056821,0.981510206584775,0.00512285982539359,-19.4133062624331,0.0807155505196797,-20.3208540945448,0.0673724891302988,-24.4898715361138,0.0235012728242929,2.42373744070764,0.119509495498035,0.427141377933245,0.919133003787718,5.72933420908196,1.06588015867806,TRUE
A,AJG,FALSE,pp,pp,11.3875317356132,0.311776778768527,0.752054297096677,0.0049958739818723,0.982168668205569,0.976979688979842,0.00606753676446344,-5.99914868606523,0.775100574132074,-3.75022461521679,0.900444040375721,-28.9872420218762,0.00980939881826841,4.52620198831279,0.0333796197799914,0.578186173236103,0.434027354795577,2.00899620784649,0.441621098060837,TRUE
ADI,AJG,FALSE,pp,pp,13.1746213101484,0.373026772998189,0.544438938410895,0.00473398783933784,0.985935582369818,0.980732894948018,0.00543989805383363,-12.2691813992255,0.425346098354596,-3.75022461521679,0.900444040375721,-22.8194003683229,0.0342192874628244,0.404946280924172,0.524545783632298,0.863863188766858,0.434027354795577,2.57954986771998,0.508987403935191,TRUE
ADSK,AJG,FALSE,pp,pp,22.3212946110983,0.321548948322826,0.324007420078032,0.00272027186971089,0.982099670317247,0.976910942182078,0.00571430037521941,-8.06901770893302,0.659639301736849,-3.75022461521679,0.900444040375721,-29.0326766118135,0.00978499419081646,1.18608091447734,0.276121510034732,1.43518273521945,0.434027354795577,2.49838559020722,0.518343742227275,TRUE
ADM,AKAM,FALSE,pp,pp,1.70677640055059,1.50104534002434,1.49429661283893,0.03688193996118,0.989072628345504,0.983858524884089,0.00498295023196542,-11.8785573114541,0.447135860752131,-10.4177232969438,0.528623989812535,-20.7659408275612,0.04985040769998,0.00213995071436454,0.963103338292538,0.519929314684551,1.18880862473563,6.80400883807993,1.23111128529486,TRUE
AIG,ALK,FALSE,pp,pp,-65.9204367636221,1.86159889989018,2.45504655004452,0.0332788469395077,0.987326609378435,0.982118859863328,0.00515017345461475,-17.9782394541196,0.106883867211582,-5.52241714709991,0.801693575656202,-23.226262188419,0.0311222183929993,0.441048164731787,0.506616984299323,0.624257829490667,1.10879779533341,8.66372829864901,1.6211138338193,TRUE
