AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CERN,CHKP,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDC,WLTW,WYNN,XEL,XLNX
0.10724567,0.00172743,0.016312729,-0.00158028,-0.005384309,-0.015309386,-0.026843573,-0.014403714,-0.007722494,0.001030397,-0.008700449,0.005882649,0.007759636,0.001768435,0.007395957,-0.010123455,-0.004858877,0.011542306,0.010498731,-0.009852296,0.057415521,-0.008538282,-0.013645575,-0.003034726,-0.004464943,0.026059627,-0.001516885,0.011261206,0.000700046,-0.012744391,0.027711635,-0.010515346,0.004251575,0.020488274,0.004239433,-0.000923954,-0.004413395,-0.004413384,-0.011124892,-0.00281143,0.001662744,-0.006568135,0.077935225,-0.000479086,0,-0.004511893,0.002718556,-0.011166971,-0.00090944,-0.001368926,-0.006793054,0.029329485,0.005774103,-0.015890029,0.047696073,0.025179452,0.003811464,0.000322945,0.029066533,-0.013759459,-0.010741188,-0.037531711,-0.017705015,0.004550318,0.014496928,0.001557254,-0.000649106,0.017867227,0.012010898,0.023788197,0.018902675,0.018106305,0.023156939,0.059720821,-0.008503117,0.015400233,0.002506299,0.006708219,-0.005783642,0.083162835,-0.004786019,0.006677744,0.010454445,-0.033558722,-0.008074941,0.026168088,-0.002243862,0.059041625,-0.011930359,-0.01268864
-0.042313772,-0.01603409,-0.002124324,-0.001899324,-0.002350196,0.002370566,-0.029869789,0.002519909,-0.002116091,-0.014523077,-0.007543365,-0.018281786,0.009119517,-0.005314418,0.007863882,0.016129382,0.000936223,-0.033572833,0.001565354,0.01148495,0.010477117,0.005308181,-0.007194187,0.012916297,-0.006530473,0.003185515,0.002652918,0,-0.003973344,0.057006549,-0.026060107,-0.006362695,-0.052654575,0.063882505,-0.004239433,0.034086466,-0.025531931,-0.025531891,-0.000932671,0.003185675,0.002397014,0.059790891,0.068668249,-0.003359911,-0.014054923,0.014405443,-0.00605128,-0.003841793,0.056602168,0.053778787,-0.004554951,0.020830848,0.002874836,-0.00839172,0.006927566,-0.011827562,0.020582956,-0.006156045,0.004466287,-0.010945315,-0.009766762,0.034535473,-0.007170825,0.001194088,0.006375955,-0.004418513,0.008084156,0.013061144,-0.010053406,-0.009825588,-0.015255254,0.015295098,-0.007232359,0,-0.001799416,-0.009345753,-0.069976757,-0.002869442,-0.007374309,-0.047102158,0.024224363,0.01289488,-0.010858753,-0.017687055,-0.007596356,0.000860907,0.015970622,-0.013203778,0.001918187,-0.006806746
0.029043415,-0.001850343,-0.019595313,-0.007952897,-0.000470855,0.005509656,-0.002864511,0.00376806,-0.010649997,-0.010504298,-0.009198771,-0.01715962,-0.02819519,-0.024270959,-0.006285726,-0.019263112,-0.008269132,-0.013556867,0.054780429,0.019386714,0.005859272,-0.002355773,0.020839762,-0.004845108,0.004494025,-0.006981643,0.008667829,-0.038553461,-0.000937092,-0.006575634,-0.007730519,-0.011555939,-0.005298595,0.016912915,-0.004663904,0.002454269,-0.023554756,-0.023554799,-0.014411435,0.003548383,0.03723546,0.016926054,-0.016498999,-0.009661472,-0.003297081,-0.003758971,0.003937532,0.005484213,0,0.003024414,-0.001776591,-0.005863248,0.003938869,-0.005280782,-0.002419219,-0.019896158,-0.003982978,-0.010454126,-0.034454904,-0.005518162,-0.017047374,-0.017404961,-0.002401443,-0.032503415,-0.019792189,-0.003130684,0.015657955,0.013154947,-0.006376143,0.028579491,-0.006086406,0.040187797,-0.002564989,-0.029414655,-0.002705096,-0.011467391,0.009352144,-0.004800777,0.003111423,0.020880699,0.081882079,-0.001643924,-0.0138439,-0.012690198,0.005973781,-0.019764232,-0.002952008,0.021130933,-0.004321618,-0.010094793
-0.019268596,0.006626258,-0.005436273,0.005732505,-0.001413585,0.030153038,0.013109336,0.001878719,0.037819508,-0.004232811,0.008846692,0.026716859,-0.024218439,-0.00822288,0.007329548,-0.000890172,0.020361214,0.000370088,-0.000493705,0.014297305,-0.002096533,-0.009776348,-0.002950344,-0.007227441,0.005285655,0.047302551,0.009708854,0.028573457,0.026828525,-0.01389057,0.019759095,0.011981463,-0.009443152,0.010054667,-0.011241815,-0.007381522,0.013243041,0.013242995,0.002521348,0.005947964,-0.008016432,0.011529314,0.011029524,0.011102807,0.026077127,-0.005519437,0.028607407,0.01492751,0.028815503,0.028075004,0.024841186,-0.001238836,0.002142098,0.005982816,0.001037422,0.004961795,0.004976323,0.006873187,0.023702112,0.006018268,-0.034418121,0.017029816,0.008082765,-0.018915237,0.00215877,-0.008923944,0.000633562,0.001306012,-0.003285654,0.009954097,-0.008173278,-0.019558795,-0.003430623,0,0.007197467,0.017485217,-0.057471425,0.002883231,0.022653918,-0.016369413,0.035322731,-0.012916266,0.007760002,-0.020202756,0.001352477,0.005032421,-0.001108933,-0.007190207,0.000481416,0.014504612
-0.019646971,-0.008860617,-0.013168915,-0.005732505,0.00446955,-0.00038088,-0.006818151,-0.00606633,0.021754945,-0.031235711,0.004393953,-0.024335098,-0.021454313,-0.000917999,0.006240664,-0.009194414,-0.003333954,0.012410515,-0.00693754,0,-0.020421488,0.002675786,-0.006522627,0.00118023,-0.002842744,-0.00997726,-0.004096158,-0.008142169,-0.030821467,-0.005488377,-0.007090294,-0.002555347,-0.008701213,-0.01977714,0.005330066,0.007827568,-0.001512745,-0.001512687,-0.000944713,0.032455027,0.032726355,0.020009567,0.013618004,0.005744589,0.004494617,0.007513186,0.014581801,-0.004319958,-0.010497637,-0.008847751,0.026413882,-0.0143573,-0.002142098,-0.001404322,-0.00450353,-0.101167794,0,-0.012801682,-0.018182319,-0.008536287,0.019892671,-0.001314184,-0.018051182,-0.020049144,-0.01411529,0.005259044,0.006002322,0.016310643,-0.001152586,-0.003645212,0.019102348,0.004870339,-0.003011848,0.029414655,-0.008552742,0.000666675,0.012596379,0.024645797,-0.01299193,-0.016641836,-0.015388442,-0.002336036,-0.002851879,0.028123163,0.001620589,0.001090719,0.009939029,-0.003245735,0.00957404,-0.010454735
0.007905461,-0.011440303,-0.015305684,-0.042407108,-0.007065941,-0.013809234,-0.017831993,-0.01394487,-0.046103851,-0.055101065,-0.017514774,-0.022977026,0.001526257,-0.011080381,-0.015148368,-0.035782565,-0.01213271,-0.022778171,-0.019583955,-0.022329476,-0.019121931,0.002076228,-0.018007399,-0.005406324,-0.015987057,-0.022424626,-0.013523782,0.015371527,-0.01159925,0.011752962,-0.080909714,-0.011149324,-0.031708306,-0.000217306,-0.008830533,0.001335716,-0.017842125,-0.017842257,-0.015878525,-0.01409245,-0.001559117,0.146858753,-0.068091565,-0.016362763,0,-0.022415209,-0.024323757,-0.035525843,-0.022626392,-0.022251667,-0.067132511,-0.014566439,-0.00861453,-0.016652301,0.016870596,-0.014341037,-0.00772402,-0.006629334,-0.060509949,-0.041705182,-0.020466888,-0.016288219,-0.014987095,-0.016542194,-0.034486226,0.018706625,-0.003470853,-0.002828398,0.0139062,-0.016363389,-0.01337406,0.003746989,-0.016945663,-0.014599179,-0.014572298,-0.020189284,-0.124236335,-0.046965986,-0.04282705,-0.032561016,-0.00660074,0.00765523,-0.013555358,-0.000956733,-0.008401925,-0.026061601,0.002560754,0.004422875,0.011840159,-0.02828633
0.07579372,0.014007006,0.017236985,-0.000333044,0.007300107,0.013809234,0.020109842,0.002974296,0.004917407,0.056194558,0.008884004,0.013725576,0.027374151,0.012915436,-0.031001775,0.128486313,0.015466664,0.001494382,0.028494905,0.030184976,0.015168312,0.003253989,0.015625393,0.006248367,0.018018329,0.006094602,0.015387672,0.03292662,0.01159925,-0.004846536,0.018813018,0.017525542,0.012379984,0.013802632,0.008421535,0.012381244,-0.005757702,-0.005757596,0.01430189,0.026040871,0.025166131,0.033637711,-0.002899954,0.016839824,0.011464927,0.005406068,0.004439868,0.011705701,0.002156626,0.00043262,0.003092838,0.030471967,0.013961432,0.008537905,-0.00205077,0.005097854,0.01440308,0.009268542,0.019305619,0.016684753,0.022715287,0.02990901,0.038686914,-0.000521438,0.013491292,0.003340669,0.00063206,0.004368552,0.008090716,0.004321307,0.005695703,0.010505868,0.024243122,-0.014815476,0.009586972,0.022850536,-0.003154521,0.01654539,0.004405749,0.094665227,0.008009473,-0.000331626,0.009057178,0.022010118,0.009211338,0.017083119,0.002189865,0.02067325,0.015417021,0.008694396
0.01987427,-0.005808122,-0.010529246,-0.001000494,-0.002819276,0.013245227,-0.025930638,0.01118033,0.00559075,-0.016529302,-0.006566756,-0.013725576,-0.006848389,-0.004593611,0.000542831,0.054787864,0.005164139,-0.02614373,0.00638661,-0.01101506,-0.001699263,0.007062919,-0.005980975,-0.011513412,0.012502706,-0.009254806,-0.006351453,-0.013830322,0.013557792,-0.003041117,0.000582242,-0.030983718,-0.021875273,-0.008388157,-0.002867679,-0.001099397,0.004690138,0.004690126,0.010359569,-0.004797906,0.008082212,-0.037218252,-0.016593841,0.024506014,0.006313142,0.006383918,0.024505665,-0.030668029,-0.007351414,-0.004334641,-0.01347185,-0.014334929,0.053973488,-0.007110019,-0.003770398,-0.045456968,-0.000986581,0.019899459,0.025485098,-0.003626088,0.003363344,-0.056613401,-0.002374217,0.020390579,-0.015757633,-0.004886187,-0.009839496,-0.001796428,0.01201445,-0.006799371,-0.001217739,-0.007210741,0.007245392,0.014815476,0.008144886,0.018433702,-0.015923913,-0.020478531,-0.012467248,-0.00143472,-0.041682635,-0.007991965,-0.002872996,-0.033804742,0.000808895,0.006795657,-0.002189865,0.038306066,0.001852712,-0.006202485
-0.016231246,-0.016853504,-0.000836088,-0.034281693,-0.005426682,-0.019742479,-0.011744058,-0.00546905,-0.0441671,-0.017937701,0.00160146,-0.001650352,-0.022357406,0.002758555,-0.010363031,0.007404225,-0.003316771,0,0.01891878,-0.015949301,-0.013239128,0.009049894,-0.002402763,0.001191237,-0.022290364,-0.010140084,-0.016629138,-0.00395705,0.003476708,0.002433646,-0.008769363,-0.018082064,-0.014414105,-0.009548418,-0.016754968,0.00131903,-0.016840189,-0.016840171,0.004362936,-0.009665383,-0.008927946,-0.00025622,-0.029972274,-0.032168999,-0.010120337,0.001881382,-0.01979142,-0.048590144,-0.012666691,-0.013558047,-0.040452339,-0.022858138,-0.013222864,-0.023097342,0.015673422,-0.025068651,-0.001729085,-0.00323518,-0.057542238,-0.032703349,0.018298264,-0.000784736,-0.014970462,-0.04788349,-0.029938959,-0.015065272,-0.021929428,-0.024179066,-0.008153987,0.003302514,-0.030517915,-0.015915446,-0.011960799,-0.014815476,-0.009963941,-0.036536544,0.014342865,-0.006920443,-0.008535147,-0.050047235,-0.004412898,-0.032622728,-0.014489916,-0.02674678,-0.013838646,-0.039893429,-0.011760583,-0.022580061,-0.009298282,-0.024775242
0.02513601,0.043287711,0.029664411,0.017457347,0.015027331,0.003444979,0.023928775,0.00462968,0.017328899,0.019048195,0.022848045,0.003689912,0.00061085,-0.004601965,-0.023857033,-0.059102346,0.019194447,-0.000335387,0.008612541,0,0.021256836,0.003191646,0.010765743,0.002717511,0.018274472,0.009348251,0.015879161,0.008105638,0.016066428,0.005856787,0.008187122,0.034554091,0.000879428,-0.022939376,0.014907108,0.016558364,0.013052393,0.013052371,0.005272078,0.009487267,0.004221197,-0.024122555,0.016096927,0.011947362,0.00854562,0.007200651,-0.003533221,0.008958031,0.039220677,0.035470847,0.005957141,0.016876694,0.006802818,0.01341834,-0.00576374,0.02945502,0.012529337,0.007747002,0.014698942,0.011197079,0.029238628,0.004894733,0.0045147,-0.002952726,0.018530374,0.010414101,-0.007856212,0.010731911,0.000641716,0.016147501,0.084285765,0.01985526,0.013233719,0,0.000455108,0.005397861,0.012578752,-0.012980711,0.008939758,0.000754432,-0.00690349,-0.035153059,0.013256135,0.035905701,0.003818413,0.022038171,0.01139504,0.011564201,0.008835545,0.01518982
