AAL,AAPL,ADBE,ADI,ADP,ADSK,ALGN,ALXN,AMAT,AMD,AMGN,AMZN,ASML,ATVI,AVGO,BIDU,BIIB,BKNG,BMRN,CDNS,CERN,CHKP,CHTR,CMCSA,COST,CSCO,CSX,CTAS,CTSH,CTXS,DLTR,EA,EBAY,EXPE,FAST,FISV,GILD,GOOG,GOOGL,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LBTYA,LBTYK,LRCX,LULU,MAR,MCHP,MDLZ,MELI,MNST,MSFT,MU,MXIM,MYL,NFLX,NTAP,NTES,NVDA,ORLY,PAYX,PCAR,PEP,QCOM,REGN,ROST,SBUX,SIRI,SNPS,SWKS,TMUS,TTWO,TXN,UAL,ULTA,VRSK,VRSN,VRTX,WBA,WDC,WLTW,WYNN,XEL,XLNX
4.496876,26.538483,37.09,24.257267,29.061203,25.67,18.5,24.125,11.600919,9.7,46.953205,133.899994,24.918034,10.193225,15.398523,41.002998,53.639999,223.960007,18.950001,6.12,20.846373,34.110001,35,7.002046,46.018879,18.933374,13.293502,22.366045,22.586962,33.42466,16.056667,18.15,9.864006,34.011906,8.063296,12.3575,18.789913,312.204773,313.68869,24.379478,20.952942,27.040001,30.549999,9.5,15.251445,28.079561,102.923332,29.722792,22.325827,11.241696,10.965,36.173527,15.455,22.855024,21.431704,14.405826,49.021591,6.546667,24.294369,10.85,14.476741,18.719999,7.64,29.236656,35.951748,17.017818,38.5,21.436441,25.830217,44.945187,35.54472,24.629999,9.604012,9.785914,0.621123,22.440001,13.620799,12.961443,10.4,20.040754,12.8,18.641415,29.589754,21.007998,44.240002,29.459892,35.53619,55.913273,41.963718,14.407637,20.047621
5.005957,26.584366,37.700001,24.218964,28.905149,25.280001,18.01,23.780001,11.511676,9.71,46.546463,134.690002,25.112141,10.211267,15.512832,40.59,53.380001,226.559998,19.15,6.06,22.078306,33.82,35,6.907148,45.879436,18.849026,13.644479,22.332144,22.842756,33.448067,15.853333,18.66,9.760826,34.156818,8.230203,12.41,18.77256,310.829926,312.307312,24.109762,20.894117,27.084999,30.35,10.27,15.24414,28.079561,102.459999,29.803705,22.077902,11.231477,10.95,35.928631,15.915,22.987373,21.093845,15.109577,50.271599,6.571667,24.302216,11.17,14.278913,18.52,7.358572,28.723576,36.115711,17.266321,38.560001,21.422531,26.295879,45.488274,36.400402,25.1,9.779489,10.01517,0.659347,22.25,13.832186,12.993969,10.47,19.92518,13.91,18.55241,29.788008,21.228777,42.779999,29.222963,36.478378,55.787952,44.515926,14.23677,19.794851
4.798555,26.161509,37.619999,24.173008,28.837296,25.34,17.48,23.84,11.487342,9.57,46.196667,132.25,25.342199,10.157144,15.635304,41.25,53.43,219.080002,19.18,6.13,22.310839,34,35,6.857635,46.475872,18.726334,13.688013,22.391468,22.842756,33.31543,16.783333,18.18,9.698918,32.404835,8.773126,12.3575,19.423481,302.994293,304.434448,24.087286,20.960785,27.15,32.220001,11,15.193007,27.687668,103.946663,29.623899,21.993246,11.885539,11.555,35.76535,16.25,23.053553,20.917572,15.214613,49.680511,6.708333,24.15307,11.22,14.123478,18.34,7.617143,28.518341,36.158867,17.376762,38.389999,21.596416,26.641586,45.033253,36.044498,24.719999,9.930217,9.942998,0.659347,22.209999,13.703516,12.115778,10.44,19.778786,13.27,19.007318,30.174608,20.999506,42.029999,29.001816,36.509796,56.686073,43.932011,14.264105,19.66057
4.939965,26.113146,36.889999,23.981525,28.823721,25.48,17.43,23.93,11.365651,9.47,45.773663,130,24.63765,9.913588,15.537333,40.463001,52.990002,216.130005,20.26,6.25,22.441948,33.919998,35,7.002046,46.251236,18.81068,13.592781,22.586397,21.978849,33.284225,16.673334,18.040001,9.587483,32.233589,8.922767,12.3,19.47121,295.940735,297.347351,23.742643,21.035294,28.18,32.77,10.82,15.046927,27.596529,103.556664,29.740774,22.114193,11.885539,11.59,35.701866,16.155001,23.144537,20.807402,15.17785,48.701828,6.681667,23.901886,10.84,14.045757,18.030001,7.485714,28.449938,35.002476,17.036219,38.27,21.937233,26.99437,44.747028,37.089493,24.57,10.337418,9.917527,0.640235,22.15,13.54727,12.229618,10.39,19.840422,13.55,20.629171,30.125044,20.710794,41.5,29.175585,35.795292,56.518982,44.870213,14.202594,19.463099
4.84569,26.286753,36.689999,24.119394,28.783005,26.26,17.66,23.975,11.803726,9.43,46.180405,133.520004,24.048132,9.832404,15.651633,40.426998,54.080002,216.210007,20.25,6.34,22.394947,33.59,33.5,6.981418,45.918163,18.91037,14.251204,22.806753,22.615919,34.189278,16.443333,18.4,9.703046,31.930635,9.012935,12.1625,19.328012,299.885956,301.31131,23.802582,21.160784,27.955,33.150002,10.94,15.214921,28.325632,102.986664,30.603867,22.446779,12.233009,11.92,36.59985,16.135,23.194168,20.932262,15.193604,48.944077,6.715,24.066734,11.1,14.130543,17.42,7.614286,28.680824,34.346607,17.073036,37.93,21.951136,27.029648,44.600246,37.460529,24.370001,10.137195,9.883562,0.640235,22.309999,13.78623,11.54658,10.42,20.295015,13.33,21.370872,29.738443,20.872135,40.669998,29.215071,35.975883,56.456341,44.548744,14.209433,19.747461
4.751416,26.054865,36.209999,23.981525,28.91194,26.25,17.540001,23.83,12.063329,9.14,46.383766,130.309998,23.537691,9.823382,15.749615,40.056999,53.900002,218.910004,20.110001,6.34,21.942247,33.68,33.5,6.936029,45.972389,18.856689,14.109723,22.713524,22.432524,33.151588,16.353333,18.27,9.678283,31.654005,8.836436,12.2275,19.479897,299.432648,300.855865,23.780106,21.858824,28.885,33.82,11.09,15.302576,28.45323,103.763336,31.053396,22.350019,12.105263,11.815,37.579475,15.905,23.144537,20.902887,15.125333,44.234745,6.715,23.760603,10.9,14.010434,17.77,7.604286,28.167746,33.664852,16.833738,38.130001,22.08329,27.474134,44.54887,37.324226,24.84,10.186687,9.853839,0.659347,22.120001,13.795424,11.692945,10.68,20.033049,13.11,21.044525,29.669054,20.812695,41.830002,29.262455,36.015144,57.02026,44.404385,14.346128,19.542082
4.789127,25.758488,35.66,22.9858,28.70837,25.889999,17.23,23.5,11.519789,8.65,45.578438,127.349998,23.573643,9.715136,15.512832,38.648998,53.25,213.979996,19.719999,6.2,21.526655,33.75,33.5,6.812247,45.724518,18.557623,13.796839,22.408419,22.78001,32.769276,16.546667,16.85,9.570976,30.666056,8.834516,12.12,19.505934,294.137512,295.535522,23.405495,21.55294,28.84,39.169998,10.36,15.054221,28.45323,101.463333,30.307173,21.569954,11.83444,11.555,35.139488,15.675,22.946014,20.557688,15.382671,43.6049,6.663333,23.603607,10.26,13.438143,17.41,7.481429,27.748741,33.112541,16.263102,38.849998,22.006775,27.396536,45.172703,36.718445,24.51,10.224928,9.688266,0.649791,21.799999,13.519697,10.326871,10.19,19.193205,12.69,20.906073,29.897049,20.532475,41.790001,29.017624,35.088657,57.166462,44.601215,14.516998,18.997053
5.166223,26.121826,36.279999,22.978146,28.918711,26.25,17.58,23.57,11.576576,9.15,45.985161,129.110001,24.227865,9.841425,15.039285,43.948002,54.080002,214.300003,20.290001,6.39,21.855667,33.860001,32.75,6.919527,46.011116,18.895031,13.881182,22.755899,23.542564,33.151588,16.466667,17.17,9.740191,31.048061,8.957301,12.2225,19.748943,292.448822,293.838837,23.742643,22.121569,29.575001,40.509998,10.33,15.309878,28.781324,102.013336,30.442032,21.823929,11.85999,11.56,35.248337,16.16,23.26862,20.733959,15.351157,43.827759,6.76,23.823395,10.46,13.664236,17.809999,7.708571,28.84329,33.095284,16.483999,38.98,22.020689,27.516481,45.539665,36.87746,24.65,10.332916,9.92601,0.640235,22.01,13.832186,10.294346,10.36,19.277952,13.95,21.074192,29.887136,20.719286,42.720001,29.28615,35.69323,57.291786,45.532864,14.742541,19.162941
5.269925,25.970547,35.900002,22.955168,28.837296,26.6,17.129999,23.834999,11.641479,9,45.684177,127.349998,24.06251,9.796321,15.047451,46.423,54.360001,208.770004,20.42,6.32,21.81856,34.099998,32.75,6.878265,45.484409,19.132753,13.753307,22.611824,23.219204,33.604111,16.416666,17.18,9.443031,30.376251,8.88248,12.1875,19.727243,293.823669,295.220215,23.989885,22.015686,29.815001,39.029999,10.16,15.689697,28.963598,102.666664,31.19725,21.164791,11.773122,11.51,34.776661,15.93,24.559019,20.587063,15.293386,41.880085,6.753334,24.302216,10.73,13.614778,17.870001,7.284286,28.774891,33.777039,16.226286,38.790001,21.805079,27.467094,46.090099,36.627567,24.620001,10.258676,9.998189,0.649791,22.190001,14.089529,10.131718,10.15,19.039101,13.93,20.21382,29.649231,20.659845,41.299999,29.309849,35.936615,57.166462,47.310886,14.76988,19.044451
5.185078,25.53652,35.869999,22.181562,28.681229,26.08,16.93,23.705,11.138498,8.84,45.757397,127.139999,23.530504,9.823382,14.892319,46.768002,54.18,208.770004,20.809999,6.22,21.531605,34.41,32.25,6.861758,45.538624,18.710995,13.614552,22.238918,23.127506,33.721146,16.456667,17.030001,9.273816,29.941545,8.79807,11.985,19.753281,288.917053,290.290283,24.09478,21.803921,29.549999,39.02,9.86,15.193007,28.671955,102.860001,30.585882,20.160976,11.624936,11.355,33.397938,15.57,24.236416,20.117006,15.534974,40.843258,6.741667,24.223721,10.13,13.176731,18.200001,7.278572,28.347326,32.197784,15.747688,38.209999,21.332111,26.81093,45.715809,36.74873,23.879999,10.096697,9.879315,0.640235,21.969999,13.584037,10.278083,10.08,18.877291,13.25,20.124815,28.697599,20.362644,40.209999,28.907034,34.5312,56.498089,46.254574,14.633182,18.578417
